Crash ID,Road User,Gender,Age,Age Group
20203097,Passenger,Male,60,40_to_64
20203078,Motorcycle rider,Male,36,26_to_39
20205060,Passenger,Female,0,0_to_16
20201228,Driver,Male,25,17_to_25
20205060,Passenger,Female,21,17_to_25
20201094,Driver,Female,28,26_to_39
20201117,Driver,Female,29,26_to_39
20201117,Passenger,Female,10,0_to_16
20201078,Motorcycle rider,Male,24,17_to_25
20202133,Driver,Male,31,26_to_39
20205110,Driver,Male,61,40_to_64
20203010,Motorcycle rider,Male,26,26_to_39
20203172,Driver,Female,78,75_or_older
20204050,Passenger,Male,17,17_to_25
20204050,Motorcycle rider,Male,19,17_to_25
20201176,Driver,Female,25,17_to_25
20201056,Motorcycle pillion passenger,Female,17,17_to_25
20203008,Motorcycle rider,Male,26,26_to_39
20203116,Driver,Female,26,26_to_39
20201064,Driver,Male,45,40_to_64
20207017,Motorcycle rider,Male,47,40_to_64
20203198,Motorcycle rider,Male,29,26_to_39
20201084,Passenger,Male,39,26_to_39
20205035,Motorcycle rider,Male,36,26_to_39
20205083,Motorcycle rider,Male,31,26_to_39
20202041,Driver,Male,89,75_or_older
20202041,Passenger,Female,82,75_or_older
20204016,Motorcycle rider,Male,16,0_to_16
20205044,Driver,Female,27,26_to_39
20205044,Passenger,Female,27,26_to_39
20202046,Driver,Male,22,17_to_25
20201066,Driver,Male,27,26_to_39
20203064,Driver,Female,21,17_to_25
20201200,Driver,Male,31,26_to_39
20203040,Driver,Male,35,26_to_39
20203028,Motorcycle rider,Male,35,26_to_39
20206025,Driver,Male,42,40_to_64
20205001,Pedal cyclist,Male,54,40_to_64
20203151,Pedal cyclist,Male,45,40_to_64
20201039,Passenger,Female,60,40_to_64
20201021,Pedal cyclist,Male,46,40_to_64
20205063,Driver,Male,40,40_to_64
20203179,Driver,Female,64,40_to_64
20205003,Motorcycle rider,Male,54,40_to_64
20201013,Driver,Male,58,40_to_64
20203029,Motorcycle rider,Male,74,65_to_74
20203035,Passenger,Male,42,40_to_64
20203039,Pedestrian,Male,62,40_to_64
20202019,Driver,Male,56,40_to_64
20202120,Pedestrian,Male,40,40_to_64
20201004,Pedestrian,Male,33,26_to_39
20201112,Pedestrian,Male,87,75_or_older
20206003,Pedestrian,Female,62,40_to_64
20203156,Pedestrian,Male,30,26_to_39
20202093,Driver,Male,21,17_to_25
20203166,Motorcycle pillion passenger,Female,22,17_to_25
20204043,Passenger,Male,24,17_to_25
20201019,Driver,Male,31,26_to_39
20203125,Passenger,Male,36,26_to_39
20203125,Passenger,Male,35,26_to_39
20201004,Pedestrian,Male,44,40_to_64
20202065,Pedestrian,Female,58,40_to_64
20202137,Driver,Male,43,40_to_64
20203036,Driver,Female,44,40_to_64
20203125,Passenger,Male,40,40_to_64
20202132,Pedestrian,Male,48,40_to_64
20203100,Driver,Male,58,40_to_64
20202119,Driver,Male,34,26_to_39
20202040,Driver,Male,36,26_to_39
20204046,Passenger,Male,31,26_to_39
20205053,Driver,Male,88,75_or_older
20204056,Driver,Male,28,26_to_39
20201178,Passenger,Female,37,26_to_39
20204046,Driver,Male,28,26_to_39
20202060,Pedal cyclist,Female,60,40_to_64
20205064,Driver,Male,35,26_to_39
20205065,Driver,Male,43,40_to_64
20203112,Motorcycle rider,Female,76,75_or_older
20202028,Pedal cyclist,Male,78,75_or_older
20201049,Driver,Male,23,17_to_25
20201140,Motorcycle rider,Male,29,26_to_39
20205063,Driver,Male,22,17_to_25
20201049,Passenger,Female,23,17_to_25
20202140,Motorcycle rider,Male,42,40_to_64
20205099,Motorcycle rider,Female,47,40_to_64
20201115,Driver,Male,35,26_to_39
20203004,Motorcycle rider,Male,58,40_to_64
20203096,Motorcycle rider,Male,49,40_to_64
20205047,Driver,Male,23,17_to_25
20207012,Driver,Female,33,26_to_39
20205084,Driver,Female,17,17_to_25
20204010,Driver,Male,25,17_to_25
20201111,Motorcycle rider,Male,28,26_to_39
20203098,Driver,Male,30,26_to_39
20202021,Pedal cyclist,Male,45,40_to_64
20208001,Driver,Male,18,17_to_25
20201152,Driver,Male,35,26_to_39
20201045,Driver,Male,60,40_to_64
20201122,Passenger,Male,19,17_to_25
20201132,Driver,Male,35,26_to_39
20204006,Passenger,Female,55,40_to_64
20204006,Driver,Female,53,40_to_64
20205010,Motorcycle rider,Male,51,40_to_64
20208001,Passenger,Male,28,26_to_39
20203030,Driver,Male,43,40_to_64
20201042,Driver,Male,19,17_to_25
20201042,Passenger,Male,22,17_to_25
20203164,Driver,Male,23,17_to_25
20202151,Driver,Male,27,26_to_39
20205043,Driver,Female,27,26_to_39
20201199,Driver,Female,58,40_to_64
20203015,Driver,Male,72,65_to_74
20204057,Driver,Male,80,75_or_older
20202077,Driver,Female,85,75_or_older
20203113,Driver,Male,84,75_or_older
20205038,Driver,Female,88,75_or_older
20205021,Passenger,Male,86,75_or_older
20205021,Driver,Female,83,75_or_older
20202069,Driver,Male,28,26_to_39
20202069,Driver,Female,35,26_to_39
20201187,Pedal cyclist,Male,30,26_to_39
20202037,Driver,Male,38,26_to_39
20201205,Pedestrian,Female,34,26_to_39
20203024,Driver,Male,40,40_to_64
20202054,Driver,Male,27,26_to_39
20202073,Driver,Male,42,40_to_64
20201040,Motorcycle rider,Male,55,40_to_64
20201119,Driver,Female,48,40_to_64
20203110,Passenger,Male,42,40_to_64
20201195,Motorcycle rider,Male,53,40_to_64
20201088,Driver,Male,43,40_to_64
20203081,Motorcycle rider,Male,50,40_to_64
20201214,Motorcycle rider,Female,43,40_to_64
20201046,Pedal cyclist,Male,47,40_to_64
20203122,Pedal cyclist,Male,69,65_to_74
20201231,Driver,Male,72,65_to_74
20201124,Pedal cyclist,Female,72,65_to_74
20204034,Pedestrian,Female,42,40_to_64
20203074,Pedestrian,Male,58,40_to_64
20201221,Pedestrian,Male,79,75_or_older
20203105,Pedestrian,Male,90,75_or_older
20202100,Pedestrian,Male,75,75_or_older
20201181,Pedestrian,Female,63,40_to_64
20204030,Passenger,Female,65,65_to_74
20201175,Pedestrian,Male,62,40_to_64
20202122,Pedestrian,-9,-9,-9
20202122,Pedestrian,-9,-9,-9
20202122,Pedestrian,-9,-9,-9
20202122,Pedestrian,-9,-9,-9
20202067,Driver,Male,57,40_to_64
20201219,Pedestrian,Male,38,26_to_39
20203084,Motorcycle rider,Male,26,26_to_39
20202055,Driver,Male,29,26_to_39
20203136,Driver,Male,33,26_to_39
20202008,Driver,Female,35,26_to_39
20203145,Pedal cyclist,Male,56,40_to_64
20203058,Driver,Female,49,40_to_64
20203058,Passenger,Male,40,40_to_64
20203181,Motorcycle rider,Male,48,40_to_64
20205107,Driver,Male,28,26_to_39
20204062,Driver,Male,62,40_to_64
20205103,Motorcycle rider,Male,47,40_to_64
20202072,Passenger,Female,81,75_or_older
20203139,Driver,Male,23,17_to_25
20201060,Motorcycle rider,Male,61,40_to_64
20203032,Pedestrian,Female,15,0_to_16
20201080,Passenger,Male,17,17_to_25
20204044,Driver,Male,39,26_to_39
20202032,Driver,Female,18,17_to_25
20202111,Motorcycle rider,Male,27,26_to_39
20202045,Motorcycle rider,Male,46,40_to_64
20202106,Driver,Male,21,17_to_25
20202095,Driver,Male,18,17_to_25
20205068,Driver,Male,19,17_to_25
